Codigo,Nombre,Programa,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
MA0101,Matemática general,Aeronáutica,-,0,0,5,0,2
CA2125,Elementos de computación,Aeronáutica,-,1,1,4,0,3
MA1102,Cálculo diferencial e intregal,Aeronáutica,-,1,2,5,0,4
FI1101,Física general I,Aeronáutica,-,1,3,4,0,3
FI1201,Laboratorio de Física general I,Aeronáutica,-,1,3,0,2,1
QU1106,Química básica I,Aeronáutica,-,1,4,0,4,3
QU1102,Laboratorio de Química básica I,Aeronáutica,-,1,4,2,0,1
CI1106,Comunicación escrita,Aeronáutica,-,1,6,0,3,2
CS1502,Int. Ciencia y la tecnología,Aeronáutica,-,1,7,0,2,1
SE1200,Act. Deportiva I,Aeronáutica,-,1,8,2,0,0
MA1103,Cálculo y álgebra lineal,Aeronáutica,-,2,2,0,4,4
FI1102,Física general II,Aeronáutica,-,2,3,2,4,3
FI1202,Laboratorio de Física general II,Aeronáutica,-,2,3,0,0,1
QU1107,Química básica II,Aeronáutica,-,2,4,0,4,3
QU1104,Laboratorio de Química básica II,Aeronáutica,-,2,4,2,0,1
IA0001,Geometría descriptiva,Aeronáutica,-,2,5,0,4,3
CI1107,Comunicación oral,Aeronáutica,-,2,6,0,3,1
CS1502,Derecho laboral,Aeronáutica,-,2,7,0,3,2
SE1100,Act. Cultural I,Aeronáutica,-,2,8,2,0,0
MI2205,Electricidad I,Aeronáutica,-,3,1,0,3,3
MI2202, Laboratorio de Electricidad I,Aeronáutica,-,3,1,2,0,1
MA2104,Cálculo superior,Aeronáutica,-,3,2,0,4,4
FI2103,Física general III,Aeronáutica,-,3,3,0,4,3
ME3208,Tecnología de materiales,Aeronáutica,-,3,4,0,3,2
ME3209,Laboratorio de Tecnología de materiales,Aeronáutica,-,3,4,2,0,1
MI2101,Dibujo técnico,Aeronáutica,-,3,5,0,4,3
SO2601,Fund. Seg. Hig. Ocup.,Aeronáutica,-,3,7,0,2,1
SE1400,Act. Cult. - Depor.,Aeronáutica,-,3,8,2,0,0
MI2207,Electricidad II,Aeronáutica,-,4,1,0,4,4
MI2204,Laboratorio de Electricidad II,Aeronáutica,-,4,1,2,0,1
MA2105,Ecuaciones diferenciales,Aeronáutica,-,4,2,0,4,4
MI2106,Estática,Aeronáutica,-,4,4,0,4,3
IA0002,Dibujo aeronáutico,Aeronáutica,-,4,5,0,4,3
AE5121,Ing. Económica,Aeronáutica,-,4,7,0,3,3
FH1000,Centr. Form. Hum,Aeronáutica,-,4,8,0,2,0
IA0003,Disp. Analógicos,Aeronáutica,-,5,1,0,3,2
IA0004,Mat. Avia. Y hard.,Aeronáutica,-,5,2,0,4,2
IA0005,Term. Y tran. Cal.,Aeronáutica,-,5,3,0,4,3
MI3117,Dinámica,Aeronáutica,-,5,4,0,4,3
MI3103,Proc. de Manufactura ,Aeronáutica,-,5,5,0,3,3
MI3104,Laboratorio de Proc. de Manuf.,Aeronáutica,-,5,5,4,0,2
MI3115,Resistencia de materiales,Aeronáutica,-,5,6,0,4,3
IA0006,Examen Inglés EMeMA,Aeronáutica,-,5,8,0,0,0
IA0007,Disp. Digitales ,Aeronáutica,-,6,1,0,3,2
IA0008,Lab. Disp. A/D,Aeronáutica,-,6,2,2,0,1
MT6001,Prob. Y proc. Est.,Aeronáutica,-,6,3,0,3,2
MI3108,Mecánica de fluidos,Aeronáutica,-,6,4,0,4,4
MI3111,Laboratorio de Mecánica de fluidos,Aeronáutica,-,6,4,2,0,1
IA0009,Teor. Máq y mec.,Aeronáutica,-,6,5,0,4,3
IA0010,Sist. De aeronaves,Aeronáutica,-,6,6,0,4,2
IA0011,Ing. Mant. Aeron.,Aeronáutica,-,6,7,0,4,3
IA0012,Aviónica,Aeronáutica,-,7,1,0,4,3
IA0013,Mét. Num. Electr.,Aeronáutica,-,7,3,0,4,3
IA0014,Sist. De propuls.,Aeronáutica,-,7,4,0,4,3
IA0015,Aerod. Din. Vuelo,Aeronáutica,-,7,5,0,4,3
IA0016,Tall. De med. Aero.,Aeronáutica,-,7,6,4,0,3
IA0017,El. De maq. Y det,Aeronáutica,-,7,7,0,4,3
IA0018,Diseño electr. Ind,Aeronáutica,-,8,1,0,4,3
IA0019,Sens. Y act. Aero ,Aeronáutica,-,8,2,0,3,2
IA0020,Ing. Mant. Avion.,Aeronáutica,-,8,3,0,4,3
IA0021,Fund. Mot. Reac.,Aeronáutica,-,8,4,0,4,3
IA0022,A. matr. Estr. Avión,Aeronáutica,-,8,5,0,4,3
IA0023,Electiva I,Aeronáutica,-,8,6,0,3,2
CS3404,Sem. Ética en ing.,Aeronáutica,-,8,8,0,5,2
IA0024,Diseño electr. Aero,Aeronáutica,-,9,1,0,4,3
IA0025,Sist. De cont. Auto,Aeronáutica,-,9,2,0,4,3
IA0026,Aeromecánica,Aeronáutica,-,9,4,0,4,3
IA0027,FGFE aeronáutica,Aeronáutica,-,9,5,0,4,3
IA0028,Electiva II,Aeronáutica,-,9,6,0,3,2
IA0029,Seg. Vuelos y am,,Aeronáutica,-,9,7,0,3,2
CS4402,Sem. Est. C.R,Aeronáutica,-,9,8,0,3,2
IA0030,Proyecto final de graduación,Aeronáutica,-,10,-,0,20,10
AE4208,Des. Emprend.,Aeronáutica,-,10,8,0,4,4
