Codigo,Nombre,Programa,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
MA0101,Matemática general,Aeronáutica,-,0,0,5,0,2
CA2125,Elementos de computación,Aeronáutica,-,1,1,4,0,3
MA1102,Cálculo diferencial e intregal,Aeronáutica,-,1,2,5,0,4
FI1101,Física general I,Aeronáutica,-,1,3,4,0,3
FI1201,Laboratorio de Física general I,Aeronáutica,-,1,3,0,2,1
QU1106,Química básica I,Aeronáutica,-,1,4,4,0,3
QU1102,Laboratorio de Química básica I,Aeronáutica,-,1,4,0,2,1
CI1106,Comunicación escrita,Aeronáutica,-,1,6,3,0,2
CS1502,"Introducción a la técnica, ciencia y tecnología",Aeronáutica,-,1,7,2,0,1
SE1200,Actividad Deportiva I,Aeronáutica,-,1,8,0,2,0
MA1103,Cálculo y álgebra lineal,Aeronáutica,-,2,2,4,0,4
FI1102,Física general II,Aeronáutica,-,2,3,4,0,3
FI1202,Laboratorio de Física general II,Aeronáutica,-,2,3,0,2,1
QU1107,Química básica II,Aeronáutica,-,2,4,4,0,3
QU1104,Laboratorio de Química básica II,Aeronáutica,-,2,4,0,2,1
IEM2501,Geometría descriptiva,Aeronáutica,-,2,5,4,0,3
CI1107,Comunicación oral,Aeronáutica,-,2,6,3,0,1
CS1302,Derecho laboral,Aeronáutica,-,2,7,3,0,2
SE1100,Actividad Cultural I,Aeronáutica,-,2,8,0,2,0
IEM2201,Análisis de Circuitos 1,Aeronáutica,-,3,1,4,0,3
IEM2251,Laboratorio de Análisis de Circuitos 1,Aeronáutica,-,3,1,0,2,1
MA2104,Cálculo superior,Aeronáutica,-,3,2,4,0,4
FI2103,Física general III,Aeronáutica,-,3,3,4,0,3
ME3208,Tecnología de materiales,Aeronáutica,-,3,4,3,0,2
ME3209,Laboratorio de Tecnología de materiales,Aeronáutica,-,3,4,0,2,1
IEM2101,Dibujo técnico,Aeronáutica,-,3,5,4,0,3
SO2601,Fundamentos de Seguridad e Higiene Ocupacional,Aeronáutica,-,3,7,2,0,1
SE1400,Actividad Cultural - Deportiva,Aeronáutica,-,3,8,0,2,0
IEM2202,Análisis de Circuitos 2,Aeronáutica,-,4,1,4,0,3
IEM2252,Laboratorio de Análisis de Circuitos 2,Aeronáutica,-,4,1,0,0,1
MA2105,Ecuaciones diferenciales,Aeronáutica,-,4,2,4,0,4
IEM2102,Estática,Aeronáutica,-,4,4,4,0,3
IEM2502,Dibujo aeronáutico,Aeronáutica,-,4,5,4,0,3
AE5121,Ingeniería Económica,Aeronáutica,-,4,7,3,0,3
FH1000,Centros de Formación Humanistica,Aeronáutica,-,4,8,2,0,0
IEM2203,Sistemas Analógicos,Aeronáutica,-,5,1,3,2,2
IEM2503,Materiales de avición y hardware,Aeronáutica,-,5,2,4,0,2
IEM2504,Termodinámica y transferencia de calor,Aeronáutica,-,5,3,4,0,3
IEM2103,Dinámica,Aeronáutica,-,5,4,4,0,3
IEM2105,Manufactura,Aeronáutica,-,5,5,3,0,3
IEM2155,Laboratorio de Manufactura,Aeronáutica,-,5,5,0,4,2
IEM2107,Resistencia de materiales,Aeronáutica,-,5,6,4,0,3
IEM2505,Examen Inglés para Electromecánica con énfasis en Mantenimiento aeronáutico,Aeronáutica,-,5,8,0,0,0
