Codigo,Nombre,Programa
MI4136,Elementos de Máquinas,Ingeniería en Mantenimiento Industrial
MI4300,Administración de Mantenimiento I,Ingeniería en Mantenimiento Industrial
MI2101,Dibujo Técnico,Ingeniería en Mantenimiento Industrial
MI2106,Estática,Ingeniería en Mantenimiento Industrial
MI2202,Laboratorio de Electricidad I,Ingeniería en Mantenimiento Industrial
MI2204,Laboratorio de Electricidad II,Ingeniería en Mantenimiento Industrial
MI2205,Electricidad I,Ingeniería en Mantenimiento Industrial
MI2207,Electricidad II,Ingeniería en Mantenimiento Industrial
MI3103,Procesos de Manufactura,Ingeniería en Mantenimiento Industrial
MI3104,Laboratorio Procesos de Manufactura,Ingeniería en Mantenimiento Industrial
MI3108,Mecánica de fluidos,Ingeniería en Mantenimiento Industrial
MI3111,Laboratorio de Mecánica de Fluidos,Ingeniería en Mantenimiento Industrial
MI3115,Resistencia de Materiales,Ingeniería en Mantenimiento Industrial
MI3116,Turbomáquinas,Ingeniería en Mantenimiento Industrial
MI3117,Dinámica,Ingeniería en Mantenimiento Industrial
MI3119,Laboratorio de Turbomáquinas,Ingeniería en Mantenimiento Industrial
MI3124,Dibujo industrial,Ingeniería en Mantenimiento Industrial
MI3130,Termodinámica,Ingeniería en Mantenimiento Industrial
MI3138,Máquinas y Equipos,Ingeniería en Producción Industrial
MI3206,Laboratorio de Máquinas Eléctricas,Ingeniería en Mantenimiento Industrial
MI3209,Electricidad III,Ingeniería en Mantenimiento Industrial
MI3210,Máquinas Eléctricas,Ingeniería en Mantenimiento Industrial
MI4125,Laboratorio de Sistemas de Vapor,Ingeniería en Mantenimiento Industrial
MI4126,Refrigeración,Ingeniería en Mantenimiento Industrial
MI4127,Laboratorio de Refrigeración,Ingeniería en Mantenimiento Industrial
MI4129,Sistemas de Vapor,Ingeniería en Mantenimiento Industrial
MI4209,Control Eléctrico,Ingeniería en Mantenimiento Industrial
MI4210,Laboratorio de Control Eléctrico,Ingeniería en Mantenimiento Industrial
MI4212,Instalaciones Eléctricas,Ingeniería en Mantenimiento Industrial
MI4305,Administración de Mantenimiento II,Ingeniería en Mantenimiento Industrial
MI4311,Modelos Cuantitativos para la Toma de Decisiones,Ingeniería en Mantenimiento Industrial
MI4510,Electrotecnia,Ingeniería en Materiales
MI5135,Ventilación Industrial,Ingeniería en Mantenimiento Industrial
MI5152,Aire Acondicionado,Ingeniería en Mantenimiento Industrial
MI5215,Análisis de Sistemas Eléctricos de Potencia,Ingeniería en Mantenimiento Industrial
MI5411,Automatismo,Ingeniería en Mantenimiento Industrial
MI6153,Ahorro Energético,Ingeniería en Mantenimiento Industrial
MI6252,Neumática,Ingeniería en Mantenimiento Industrial
MI6253,"Fundamentos en Administración de Proyectos en 
Ingeniería",Ingeniería en Mantenimiento Industrial
MI6254,Sistemas de protección contra incendios a base de agua,Ingeniería en Mantenimiento Industrial
MI6255,Sistemas de control automático,Ingeniería en Mantenimiento Industrial
MI6351,Mantenimiento Predictivo,Ingeniería en Mantenimiento Industrial
MI8304,"Maquinas y Equipos para ISLHA
e Higiene Ambiental","Ingeniería en Seguridad laboral 
e Higiene Ambiental"
