Codigo,Nombre,Programa,Area,Tipo,Electivo,Creditos,HorasTeoria,HorasPractica,Ubicacion,Requisitos,Correquisitos,EsRequisito,Asistencia,PosibilidadReconocimiento,PosibilidadSuficiencia,Vigencia
IEM2101,Dibujo Técnico,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,1,,,,,,,
IEM2102,Estática,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,3,,,,,,,
IEM2103,Dinámica,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,,,,,,,
IEM2104,Termodinámica,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,5,,,,,,,
IEM2105,Manufactura,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,5,,,,,,,
IEM2106,Transferencia de Calor,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,6,,,,,,,
IEM2107,Resistencia de Materiales,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,6,,,,,,,
IEM2108,Dibujo Industrial,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,6,,,,,,,
IEM2109,Mecánica de Fluidos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,6,,,,,,,
IEM2110,Máquinas y mecanismos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,7,,,,,,,
IEM2111,Turbomáquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,7,,,,,,,
IEM2112,Elementos de Máquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,8,,,,,,,
IEM2113,Sistemas Térmicos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,8,,,,,,,
IEM2114,Diseño Mecánico,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,9,,,,,,,
IEM2115,Fundamentos de Refrigeración y Aire Acondicionado,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico - Práctico,No,3,3,2,9,,,,,,,
IEM2155,Laboratorio de Manufactura,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,2,0,4,5,,,,,,,
IEM2159,Laboratorio de Mecánica de Fluidos,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,6,,,,,,,
IEM2161,Laboratorio de Turbomáquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,7,,,,,,,
IEM2163,Laboratorio de Sistemas Térmicos,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,8,,,,,,,
IEM2201,Análisis de Circuitos 1,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,3,,,,,,,
IEM2202,Análisis de Circuitos 2,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,,,,,,,
IEM2203,Sistemas Analógicos,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,5,,,,,,,
IEM2204,Sistemas Digitales,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,6,,,,,,,
IEM2205,Máquinas Eléctricas 1,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,7,,,,,,,
IEM2206,Máquinas Eléctricas 2,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,8,,,,,,,
IEM2207,Sistemas de Potencia,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,9,,,,,,,
IEM2208,Instalaciones Eléctricas,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,9,,,,,,,
IEM2251,Laboratorio de Análisis de Circuitos 1,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,3,,,,,,,
IEM2252,Laboratorio de Análisis de Circuitos 2,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,4,,,,,,,
IEM2255,Laboratorio de Máquinas Eléctricas 1,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,7,,,,,,,
IEM2256,Laboratorio de Máquinas Eléctricas 2,Licenciatura en Ingeniería Electromecánica,Eléctrica,Práctico,No,1,0,2,8,,,,,,,
