Codigo,Nombre,Programas
MI4136,Elementos de máquinas,
MI4300,Administración de mantenimiento I,
MI2101,Dibujo técnico,
MI2106,Estática,"Ingeniería en Mantenimiento Industrial;3
Ingeniería Electromecánica;3
Ingeniería en Producción Industrial;4
Ingeniería Mecatrónica;4
Ingeniería Física;3
Ingeniería en Materiales;4"
MI2202,Laboratorio de electricidad I,
MI2204,Laboratorio de electricidad II,
MI2205,Electricidad I,
MI2207,Electricidad II,
MI3103,Procesos de manufactura,
MI3104,Laboratorio procesos de manufactura,
MI3108,Mecánica de fluidos,
MI3111,Laboratorio de mecánica de fluidos,
MI3115,Resistencia de materiales,
MI3116,Turbomáquinas,
MI3117,Dinámica,
MI3119,Laboratorio de turbomáquinas,
MI3124,Dibujo industrial,
MI3130,Termodinámica,
MI3138,Máquinas y equipos,
MI3206,Laboratorio de máquinas eléctricas,
MI3209,Electricidad III,
MI3210,Máquinas eléctricas,
MI4125,Laboratorio de sistemas de vapor,
MI4126,Refrigeración,
MI4127,Laboratorio de refrigeración,
MI4129,Sistemas de vapor,
MI4209,Control eléctrico,
MI4210,Laboratorio de control eléctrico,
MI4212,Instalaciones eléctricas,
MI4305,Administración de mantenimiento II,
MI4311,Modelos cuantitativos para la toma de decisiones,
MI4510,Electrotecnia,
MI5135,Ventilación industrial,
MI5152,Aire acondicionado,
MI5215,Análisis de sistemas eléctricos de potencia,
MI5411,Automatismo,
MI6153,Ahorro energético,
MI6252,Neumática,
MI6253,Fundamentos en administración de proyectos en ingeniería,
MI6254,Sistemas de protección contra incendios a base de agua,
MI6255,Sistemas de control automático,
MI6351,Mantenimiento predictivo,
MI8304,Maquinas y equipos para ingeniería en seguridad laboral e higiene ambiental,
IEM2101,Dibujo técnico,"Ingeniería en Mantenimiento Industrial;2
Ingeniería en Electrónica;1
Ingeniería en Producción Industrial;1
Ingeniería Mecatrónica;3
Ingeniería en Materiales;4"
IEM2102,Estática,"Ingeniería en Mantenimiento Industrial;3
Ingeniería Electromecánica;3
Ingeniería en Producción Industrial;4
Ingeniería Mecatrónica;4
Ingeniería Física;3
Ingeniería en Materiales;4"
IEM2103,Dinámica,
IEM2104,Termodinámica,
IEM2105,Manufactura,
IEM2106,Transferencia de calor,
IEM2107,Resistencia de materiales,
IEM2108,Dibujo industrial,
IEM2109,Mecánica de fluidos,
IEM2110,Máquinas y mecanismos,
IEM2111,Turbomáquinas,
IEM2112,Elementos de máquinas,
IEM2113,Sistemas térmicos,
IEM2114,Diseño mecánico,
IEM2115,Fundamentos de refrigeración y aire acondicionado,
IEM2155,Laboratorio de manufactura,
IEM2159,Laboratorio de mecánica de fluidos,
IEM2161,Laboratorio de turbomáquinas,
IEM2163,Laboratorio de sistemas térmicos,
IEM2201,Análisis de circuitos 1,
IEM2202,Análisis de circuitos 2,
IEM2203,Sistemas analógicos,
IEM2204,Sistemas digitales,
IEM2205,Máquinas eléctricas 1,
IEM2206,Máquinas eléctricas 2,
IEM2207,Sistemas de potencia,
IEM2208,Instalaciones eléctricas,
IEM2251,Laboratorio de circuitos 1,
IEM2252,Laboratorio de circuitos 2,
IEM2255,Laboratorio de máquinas eléctricas 1,
IEM2256,Laboratorio de máquinas eléctricas 2,
IEM2301,Transductores,"Ingeniería Electromecánica;3
Ingeniería Aeronaútica con énfasis en Mantenimiento;8"
IEM2302,Instrumentación,Ingeniería Electromecánica;4
IEM2303,Modelado y simulación de sistemas electromecánicos,
IEM2304,Fundamentos de gestión de proyectos,
IEM2305,Gestión de la ingeniería electromecánica,
IEM2306,Control automático,
IEM2307,Monitoreo de la condición,
IEM2308,Control eléctrico,
IEM2309,Gestión de la energía,
IEM2310,Diseño e integración de sistemas electromecánicos,
IEM2311,Automatización,
IEM2352,Laboratorio de instrumentación,
IEM2358,Laboratorio de control,
IEM2360,Laboratorio de diseño e integración de sistemas electromecánicos,
IEM2400,Metodología de la investigación,
IEM2401,Electiva I,
IEM2402,Electiva II,
IEM2403,TFG,
IEM2501,Geometría descriptiva,
IEM2502,Dibujo aeronáutico,
IEM2503,Materiales de avición y hardware,
IEM2504,Termodinámica y transferencia de calor,
IEM2505,Examen inglés,
IEM2507,Sistemas de aeronaves,
IEM2508,Ingeniería en mantenimiento aeronáutico,
IEM2509,Aviónica,
IEM2510,Métodos numéricos para electromecánica,
IEM2511,Sistemas de propulsión,
IEM2512,Aerodinámica y dinámica de vuelo,
IEM2513,Taller de mediciones para aeronáutica,
IEM2514,Elementos de máquinas y dispositivos de elevación y transporte,
IEM2515,Ingeniería en mantenimiento aviónico,
IEM2516,Fundamentos del motor de reacción,
IEM2517,Análisis matricial de estructuras del avión,
IEM2518,Electiva I,
IEM2519,Diseño eléctrico aeroportuario,
IEM2520,Sistemas de control automático,
IEM2521,Aeromecánica,
IEM2522,Fundamentos de la construcción y fuerzas actuantes de las estructuras aeronáuticas,
IEM2523,Electiva II,
IEM2524,Seguridad de vuelos y del ambiente,
IEM2525,Proyecto final de graduación,
