Codigo,Nombre,Programa,Area,Tipo,Electivo,Creditos,HorasTeoria,HorasPractica,HorasClase,HorasExtraclase,AreasCurriculares,Ubicacion,Requisitos,Correquisitos,EsRequisito,Asistencia,PosibilidadReconocimiento,PosibilidadSuficiencia,Vigencia
EM2101,Dibujo Técnico,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,1,,,,,,,
EM2102,Estática,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,3,,,,,,,
EM2103,Dinámica,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,4,,,,,,,
EM2104,Termodinámica,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,5,,,,,,,
EM2105,Manufactura,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,3,6,6.0,5,,,,,,,
EM2106,Transferencia de Calor,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,6,,,,,,,
EM2107,Resistencia de Materiales,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,6,,,,,,,
EM2108,Dibujo Industrial,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,6,,,,,,,
EM2109,Mecánica de Fluidos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,6,,,,,,,
EM2110,Máquinas y mecanismos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,7,,,,,,,
EM2111,Turbomáquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,4,0,4,5,6.0,7,,,,,,,
EM2112,Elementos de Máquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,2,7,6.0,8,,,,,,,
EM2113,Sistemas Térmicos,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,3,0,3,6,6.0,8,,,,,,,
EM2114,Diseño Mecánico,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico,No,3,0,2,2,7,6.0,9,,,,,,,
EM2115,Fundamentos de Refrigeración y Aire Acondicionado,Licenciatura en Ingeniería Electromecánica,Mecánica,Teórico - Práctico,No,3,3,2,5,4,6.0,9,,,,,,,
EM2155,Laboratorio de Manufactura,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,2,0,4,4,2,4.0,5,,,,,,,
EM2159,Laboratorio de Mecánica de Fluidos,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2.0,6,,,,,,,
EM2161,Laboratorio de Turbomáquinas,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2.0,7,,,,,,,
EM2163,Laboratorio de Sistemas Térmicos,Licenciatura en Ingeniería Electromecánica,Mecánica,Práctico,No,1,0,2,2,1,2.0,8,,,,,,,
EM2201,Análisis de Circuitos 1,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,3,,,,,,,
EM2202,Análisis de Circuitos 2,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico,No,3,4,0,4,5,11.5,4,,,,,,,
EM2203,Sistemas Analógicos,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,5,1,7.7,5,,,,,,,
EM2204,Sistemas Digitales,Licenciatura en Ingeniería Electromecánica,Eléctrica,Teórico - Práctico,No,2,3,2,5,1,7.7,6,,,,,,,
