Codigo,Nombre,Tipo,Electivo,Creditos,HorasClase,HorasExtraclase,AreasCurriculares,Ubicacion,Requisitos,Correquisitos,EsRequisito,Asistencia,PosibilidadReconocimiento,PosibilidadSuficiencia,Vigencia,salto pagina
MI4136,Elementos de Máquinas,Teórico,No,4,4,15,"40% Ciencias de Ingeniería
60% Diseño de Ingeniería",8° semestre en Mantenimiento Industrial,"MI-3115 Resistencia de Materiales, MI-3119 Laboratorio 
de Turbomáquinas",Ninguno,Ninguno,Libre,Si,No,I semestre de 2024,
MI4300,Administración de Mantenimiento I,Teórico,No,4,4,12,"75% Ciencias de la Ingeniería
25% Diseño de Ingeniería","Curso del VII semestre de la carrera de Ingeniería en 
Mantenimiento Industrial","AE-5101 Ingeniería Económica
MI-3210 Máquinas Eléctricas
PI-2609 Probabilidad y Estadística",MI-4311 Métodos Cuantitativos para los Negocios,"MI-6351 Mantenimiento Predictivo
MI-4305 Administración de Mantenimiento II",Libre,No,No,I semestre de 2024,
MI2101,Dibujo Técnico,Teórico-práctico,No,3,4,5,100% Ciencias de la ingeniería,"Curso del 2do semestre para Ingeniería en Mantenimiento Industrial. Curso del 1er semestre para Ingeniería en Electrónica, Ingeniería en Producción Industrial, Curso del 3to semestre para Ingeniería Mecatrónica Curso del 4to semestre para Ingeniería en Materiales","MA 1103 Cálculo y Algebra Lineal para 
Ingeniería Mecatrónica",CM 2302 Laboratorio de Materiales II para,"I 3103 Procesos de Manufactura para Ingeniería en
Mantenimiento Industrial.
MI 3124 Dibujo Industrial para Ingeniería en 
Materiales, Ingeniería Mecatrónica.
MI 3265 Máquinas y Equipos para Ingeniería en 
Producción Industrial",Obligatoria,Si,Si,I semestre de 2024,
MI2106,Estática,Teórico,No,3,4,5,100% Ciencias de la ingeniería,Curso del 3er semestre de la carrera “Ingeniería en Mantenimiento Industrial” e “Ingeniería Física”. Curso del 4to semestre de la carrera de “Ingeniería Mecatrónica”; “Ingeniería en Producción Industrial”; “Ciencia e Ingeniería de los Materiales”,"MI2101 Dibujo Técnico; FI1101 Física General I; 
“Ingeniería en Mantenimiento Industrial
FI1101 Física General I; “Ciencia e Ingeniería de los 
Materiales” e “Ingeniería Física”
FI1102Física General II; FI1202 Lab. Física General II; 
Ingeniería en Producción Industrial”
FI1202 Física General II; “Ingeniería Mecatrónica”",Ninguno,"MI3115 Resistencia de Materiales y MI3117 Dinámica para “Ingeniería en Mantenimiento Industrial” e “Ingeniería Mecatrónica” “Ciencia e Ingeniería de los Materiales con énfasis el Procesos industriales” y MI3115 Resistencia de Materiales, para “Ingeniería Materiales con énfasis en Metalurgia y con énfasis en Materiales Electrónicos” MI3138 Máquinas y Equipos para “Ingeniería en Producción Industrial” MI3117 Dinámica para “Ingeniería Física”",Libre,Si,Si,I semestre de 2024,
MI2202,Laboratorio de Electricidad I,Práctico,No,1,2,4,100% de ciencias de la ingeniería,Curso de 4to semestre de los planes 1312 y 1313,Ninguno,MI-2205 Electricidad I,MI-2207 Electricidad II,Obligatoria,Si,No,I semestre de 2024,
MI2204,Laboratorio de Electricidad II,Práctico,No,1,2,3,100% Ciencias de la Ingeniería,Quinto semestre,No tiene,Electricidad II (MI-2207),No tiene,Obligatoria,No,No,I semestre de 2024,
MI2205,Electricidad I,Teórico,No,3,3,6,100% de ciencias de la ingeniería,Curso de 4to semestre de los planes 1312 y 1313,"MA1103 Cálculo y Álgebra Lineal y FI1102 Física
General II",Ninguno,MI2207 Electricidad II,Libre,Si,Si,I semestre de 2024,
MI2207,Electricidad II,Teórico,No,4,4,12,100% Ciencias de la Ingeniería,Curso del 5to semestre,"CA-2125 Elementos de Computación
MI-2205 Electricidad I",MI-2204 Laboratorio de Electricidad II,MI-3209 Electricidad III,Libre,Si,Si,I semestre de 2024,
MI3103,Procesos de Manufactura,Teórico,No,3,3,6,100% Ciencias de la Ingeniería,"Cuarto semestre, Ingeniería en mantenimiento 
Industrial. Ingeniería Mecatrónica. Ingeniería Física.
Séptimo semestre, Ingeniería en Materiales con énfasis 
en Procesos Industriales.","MI2101 Dibujo Técnico; “Ingeniería en Mantenimiento 
Industrial
MI2101 Dibujo Técnico; “Ingeniería Mecatrónica”",MI-3104 Laboratorio de Procesos de Manufactura,MI-3124 Dibujo Industrial,Libre,Si,No,I semestre de 2024,
MI3104,Laboratorio Procesos de Manufactura,Teórico Práctico,No,2,4,2,100% Ciencias de la Ingeniería.,"Tercer semestre, Ingeniería en mantenimiento 
Industrial.",Ninguno,MI3103 Procesos de Manufactura,Ninguno,Obligatoria,No,No,I semestre de 2024,
