Codigo,Nombre,Programa,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
MA0101,Matemática general,AeronáuticaV1,-,0,2,5,0,2
CA2125,Elementos de computación,AeronáuticaV1,-,1,1,4,0,3
MA1102,Cálculo diferencial e integral,AeronáuticaV1,-,1,3,5,0,4
FI1101,Física general I,AeronáuticaV1,-,1,4,4,0,3
FI1201,Laboratorio de física general I,AeronáuticaV1,-,1,4,0,2,1
QU1106,Química básica I,AeronáuticaV1,-,1,5,4,0,3
QU1102,Laboratorio de química básica I,AeronáuticaV1,-,1,5,0,2,1
CI1106,Comunicación escrita,AeronáuticaV1,-,1,7,3,0,2
CS1502,Introducción a la técnica ciencia y tecnología,AeronáuticaV1,-,1,8,2,0,1
SE1200,Actividad deportiva I,AeronáuticaV1,-,1,9,0,2,0
MA1103,Cálculo y álgebra lineal,AeronáuticaV1,-,2,3,4,0,4
FI1102,Física general II,AeronáuticaV1,-,2,4,4,0,3
FI1202,Laboratorio de física general II,AeronáuticaV1,-,2,4,0,2,1
QU1107,Química básica II,AeronáuticaV1,-,2,5,4,0,3
QU1104,Laboratorio de química básica II,AeronáuticaV1,-,2,5,0,2,1
IEM2501,Geometría descriptiva,AeronáuticaV1,-,2,6,4,0,3
CI1107,Comunicación oral,AeronáuticaV1,-,2,7,3,0,1
CS1302,Derecho laboral,AeronáuticaV1,-,2,8,3,0,2
SE1100,Actividad cultural I,AeronáuticaV1,-,2,9,0,2,0
MI2205,Electricidad I,AeronáuticaV1,-,3,1,4,0,3
MI2202,Laboratorio de electricidad I,AeronáuticaV1,-,3,2,0,2,1
MA2104,Cálculo superior,AeronáuticaV1,-,3,3,4,0,4
FI2103,Física general III,AeronáuticaV1,-,3,4,4,0,3
ME3208,Tecnología de materiales,AeronáuticaV1,-,3,5,3,0,2
ME3209,Laboratorio de tecnología de materiales,AeronáuticaV1,-,3,5,0,2,1
MI2101,Dibujo técnico,AeronáuticaV1,-,3,6,4,0,3
SO2601,Fundamentos de seguridad e higiene ocupacional,AeronáuticaV1,-,3,8,2,0,1
