Codigo,Nombre,Programa,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
MA0101,Matemática General,Electromecánica,Básicas,1,1,5,0,2
FI1101,Física General I,Electromecánica,Básicas,1,2,4,0,3
FI2201,Laboratorio de Física General I,Electromecánica,Básicas,1,3,0,2,1
QU1106,Química Básica I,Electromecánica,Básicas,1,4,4,0,3
QU1102,Laboratorio de Química Básica I,Electromecánica,Básicas,1,5,0,2,1
CI1230,Inglés I,Electromecánica,Básicas,1,6,3,0,2
EM2101,Dibujo Técnico,Electromecánica,Mecánica,1,7,4,0,3
CS1502,Introducción a la Técnica Ciencia y Tecnología,Electromecánica,Básicas,1,8,2,0,1
CI1106,Comunicación Escrita,Electromecánica,Básicas,1,9,3,0,2
MA1102,Cálculo Diferencial e Integral,Electromecánica,Básicas,2,1,5,0,4
FI1102,Física General II,Electromecánica,Básicas,2,2,4,0,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EM2102,,,,3,,,,
EM2103,,,,4,,,,
EM2104,,,,5,,,,
EM2105,,,,5,,,,
EM2106,,,,6,,,,
EM2107,,,,6,,,,
EM2108,,,,6,,,,
EM2109,,,,6,,,,
EM2110,,,,7,,,,
EM2111,,,,7,,,,
EM2112,,,,8,,,,
EM2113,,,,8,,,,
EM2114,,,,9,,,,
EM2115,,,,9,,,,
EM2155,,,,5,,,,
EM2159,,,,6,,,,
EM2161,,,,7,,,,
EM2163,,,,8,,,,
EM2201,,,,3,,,,
EM2202,,,,4,,,,
EM2203,,,,5,,,,
EM2204,,,,6,,,,
EM2205,,,,7,,,,
EM2206,,,,8,,,,
EM2207,,,,9,,,,
EM2208,,,,9,,,,
EM2251,,,,3,,,,
EM2252,,,,4,,,,
EM2255,,,,7,,,,
EM2256,,,,8,,,,
EM2301,,,,3,,,,
EM2302,,,,4,,,,
EM2303,,,,6,,,,
EM2304,,,,7,,,,
EM2305,,,,7,,,,
EM2306,,,,7,,,,
EM2307,,,,8,,,,
EM2308,,,,8,,,,
EM2309,,,,9,,,,
EM2310,,,,9,,,,
EM2311,,,,10,,,,
EM2352,,,,4,,,,
EM2358,,,,8,,,,
EM2360,,,,9,,,,
EM2400,Met,,,8,,,,
EM2401,,,,10,,,,
EM2402,,,,10,,,,
EM2403,,,,10,,,,
