Codigo,Programa,Plan,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
AE4208,AeronáuticaV2,,-,10,9,4,0,4
AE4208,AeronáuticaV1,,-,10,9,4,0,4
AE4208,Mantenimiento Industrial,,-,7,10,4,0,4
AE5121,AeronáuticaV2,,-,4,8,3,0,3
AE5121,AeronáuticaV1,,-,4,8,3,0,3
AE5121,Mantenimiento Industrial,,-,6,3,3,0,3
CA2125,AeronáuticaV2,,-,1,1,4,0,3
CA2125,AeronáuticaV1,,-,1,1,4,0,3
CA2125,Mantenimiento Industrial,,Básicas,1,7,4,0,3
CA21XX,Electromecánica,,Básicas,2,5,4,0,3
CI0200,Mantenimiento Industrial,,Básicas,0,5,0,0,0
CI0202,Mantenimiento Industrial,,Básicas,0,6,2,0,2
CI1106,Electromecánica,,Básicas,1,9,3,0,2
CI1106,AeronáuticaV2,,-,1,7,3,0,2
CI1106,Mantenimiento Industrial,,Básicas,1,9,3,0,2
CI1106,AeronáuticaV1,,-,1,7,3,0,2
CI1107,AeronáuticaV2,,-,2,7,3,0,1
CI1107,AeronáuticaV1,,-,2,7,3,0,1
CI1107,Electromecánica,,Básicas,5,9,3,0,1
CI1107,Mantenimiento Industrial,,-,2,7,3,0,1
CI1230,Mantenimiento Industrial,,Básicas,1,6,3,0,2
CI1230,Electromecánica,,Básicas,1,6,3,0,2
CI1231,Mantenimiento Industrial,,Básicas,3,9,3,0,2
CI1231,Electromecánica,,Básicas,2,6,3,0,2
CM3207,Mantenimiento Industrial,,Básicas,7,1,4,0,3
CM3207,Electromecánica,,Básicas,5,2,4,0,3
CM4108,Mantenimiento Industrial,,Básicas,6,10,3,0,3
CS1302,AeronáuticaV2,,-,2,8,3,0,2
CS1302,AeronáuticaV1,,-,2,8,3,0,2
CS1502,AeronáuticaV2,,-,1,8,2,0,1
CS1502,Electromecánica,,Básicas,1,8,2,0,1
CS1502,AeronáuticaV1,,-,1,8,2,0,1
CS1502,Mantenimiento Industrial,,Básicas,1,8,2,0,1
CS2303,Electromecánica,,Básicas,2,8,3,0,2
CS2303,Mantenimiento Industrial,,Básicas,3,8,3,0,2
CS3404,AeronáuticaV2,,-,8,9,5,0,2
CS3404,Electromecánica,,Básicas,4,8,3,0,2
CS3404,Mantenimiento Industrial,,-,8,10,5,0,2
CS3404,AeronáuticaV1,,-,8,9,5,0,2
CS4402,Electromecánica,,Básicas,3,8,3,0,2
CS4402,AeronáuticaV2,,-,9,9,3,0,2
CS4402,AeronáuticaV1,,-,9,9,3,0,2
CS4402,Mantenimiento Industrial,,-,9,10,3,0,2
FH1000,AeronáuticaV1,,-,4,9,2,0,0
FH1000,AeronáuticaV2,,-,4,9,2,0,0
FH1000,Mantenimiento Industrial,,Básicas,4,10,3,0,1
FH1000,Electromecánica,,Básicas,4,9,3,0,1
FI1101,Electromecánica,,Básicas,1,2,4,0,3
FI1101,AeronáuticaV1,,-,1,4,4,0,3
FI1101,Mantenimiento Industrial,,Básicas,2,2,4,0,3
FI1101,AeronáuticaV2,,-,1,3,4,0,3
FI1102,AeronáuticaV2,,-,2,2,4,0,3
FI1102,Electromecánica,,Básicas,2,2,4,0,3
FI1102,Mantenimiento Industrial,,Básicas,3,2,4,0,3
FI1102,AeronáuticaV1,,-,2,4,4,0,3
FI1103,AeronáuticaV2,,-,3,4,4,0,3
FI1103,Mantenimiento Industrial,,Básicas,4,2,4,0,3
FI1201,AeronáuticaV2,,-,1,4,0,2,1
FI1201,AeronáuticaV1,,-,1,4,0,2,1
FI1202,AeronáuticaV1,,-,2,4,0,2,1
FI1202,Mantenimiento Industrial,,Básicas,3,3,0,2,1
FI1202,AeronáuticaV2,,-,2,3,0,2,1
FI1202,Electromecánica,,Básicas,2,3,0,2,1
FI2103,Electromecánica,,Básicas,3,2,4,0,3
FI2103,AeronáuticaV1,,-,3,4,4,0,3
FI2201,Electromecánica,,Básicas,1,3,0,2,1
FI2201,Mantenimiento Industrial,,Básicas,2,3,0,2,1
IA0001,AeronáuticaV1,,-,5,1,3,0,2
IA0002,AeronáuticaV1,,-,5,9,0,0,0
IA0003,AeronáuticaV1,,-,6,1,3,0,2
IA0004,AeronáuticaV1,,-,6,3,2,0,1
IA0005,AeronáuticaV1,,-,6,6,4,0,3
IA0006,AeronáuticaV1,,-,7,4,4,0,3
IA0007,AeronáuticaV1,,-,7,8,4,0,3
IA0008,AeronáuticaV1,,-,8,1,4,0,3
IA0009,AeronáuticaV1,,-,8,3,3,0,2
IA0010,AeronáuticaV1,,-,9,3,4,0,3
IEM2101,AeronáuticaV2,,-,3,6,4,0,3
IEM2101,Electromecánica,,Mecánica,1,7,4,0,3
IEM2102,AeronáuticaV2,,-,4,5,4,0,3
IEM2102,Electromecánica,,Mecánica,3,7,4,0,3
IEM2103,AeronáuticaV2,,-,5,5,4,0,3
IEM2103,Electromecánica,,Mecánica,4,7,4,0,3
IEM2104,Electromecánica,,Mecánica,5,6,4,0,3
IEM2105,Electromecánica,,Mecánica,5,7,3,0,3
IEM2105,AeronáuticaV2,,-,5,6,3,0,3
IEM2106,Electromecánica,,Mecánica,6,5,4,0,3
IEM2107,Electromecánica,,Mecánica,6,6,4,0,3
IEM2107,AeronáuticaV2,,-,5,7,4,0,3
IEM2108,Electromecánica,,Mecánica,6,7,4,0,3
IEM2109,Electromecánica,,Mecánica,6,8,4,0,3
IEM2109,AeronáuticaV2,,-,6,5,4,0,3
IEM2110,Electromecánica,,Mecánica,7,6,4,0,3
